BOD(㎎/L),COD(㎎/L),Conductivity(µS/㎝),DO (㎎/L),Dissolved Total P(㎎/L),SS(㎎/L),T-N(㎎/L),T-P(㎎/L),Temp.(℃),TSI(Chl-a)
4.1,6.3,624.0,10.1,0.139,4.4,4.116,0.187,23.0,42.88960472093956
1.9,4.3,108.0,9.4,0.094,24.9,3.217,0.114,20.8,55.837325978331705
1.0,2.8,158.0,11.1,0.069,6.4,3.291,0.077,19.0,54.12335262615202
3.9,5.8,279.0,3.4,0.23,1.8,3.852,0.326,22.0,42.60523698421296
3.0,4.7,556.0,6.2,1.068,6.8,14.544,1.248,25.0,42.01050944419373
3.2,9.7,96.0,7.8,0.319,11.0,7.037,0.32,29.0,52.889554936846594
5.3,7.4,469.0,7.5,0.437,9.0,6.216,0.571,24.0,27.10101879996104
2.2,5.1,173.0,10.2,0.063,33.5,3.34,0.104,20.3,51.93431438775962
1.1,2.6,198.0,9.3,0.0,1.6,2.648,0.019,22.0,33.9007926412541
1.2,3.8,154.0,10.3,0.023,36.3,2.642,0.053,20.3,42.60523698421296
1.7,3.6,163.0,10.8,0.191,7.4,3.937,0.228,18.0,57.61341158819532
4.3,8.5,578.0,10.9,0.648,8.6,8.352,0.754,24.0,64.69040952854267
1.9,3.4,168.0,10.2,0.122,9.2,3.485,0.182,19.0,59.32881576907191
5.3,6.2,566.0,10.6,0.058,9.8,10.728,0.115,24.0,58.0413298946838
3.0,6.2,281.0,8.0,0.154,4.4,2.28,0.182,22.0,50.75095382755331
1.5,3.4,449.0,10.7,0.019,1.8,3.84,0.043,25.0,42.01050944419373
2.8,5.9,491.0,7.7,0.149,11.4,4.44,0.235,26.0,41.04481232989572
5.4,9.9,181.0,10.1,0.221,15.4,10.038,0.24,25.0,64.09568198852345
7.5,9.8,514.0,6.9,0.265,46.6,10.867,0.331,23.8,47.14357373452395
2.6,5.6,424.0,7.7,0.226,10.2,5.748,0.269,22.0,38.770838495993374
1.5,2.4,192.0,9.7,0.005,2.8,2.624,0.019,19.0,25.588800630855637
1.1,3.2,168.0,11.2,0.103,6.6,3.073,0.179,19.0,57.73759046150889
4.7,6.1,394.0,6.9,0.408,3.6,6.588,0.485,23.1,43.434744960768256
0.8,6.1,117.0,10.0,0.047,86.0,2.458,0.094,20.5,48.01228256244352
1.8,2.2,217.0,8.0,0.0,1.6,2.784,0.019,24.0,46.96020390967473
3.5,5.1,459.0,9.0,0.125,11.4,6.048,0.187,23.6,60.03706138578795
0.5,2.8,117.0,7.1,0.138,6.0,2.147,0.159,22.0,50.8759236704299
2.4,3.5,362.0,9.9,0.034,5.4,4.464,0.053,22.0,55.21916876393183
1.6,5.5,114.0,10.7,0.031,70.4,2.547,0.09,20.2,56.27665312010232
4.3,6.9,396.0,8.6,0.223,7.6,6.068,0.257,26.6,42.01050944419373
1.4,2.0,158.0,10.4,0.0,1.4,2.336,0.0,23.4,37.8784053517952
2.8,5.1,174.0,7.0,0.128,25.3,3.383,0.144,22.0,32.3885744721487
0.5,2.7,140.0,11.5,0.088,6.2,2.366,0.122,22.8,52.04516302480071
1.7,3.1,325.0,12.9,0.019,2.6,4.284,0.043,22.9,54.38731473929647
1.2,1.9,138.0,9.6,0.0,2.2,2.368,0.0,22.5,40.70056648254716
2.6,3.6,326.0,9.3,0.173,3.2,4.704,0.226,22.3,47.14357373452395
1.3,2.6,404.0,12.8,0.034,4.0,5.508,0.043,24.0,48.01228256244352
6.8,6.4,504.0,9.3,0.029,6.6,9.552,0.043,23.3,42.01050944419373
3.7,4.8,317.0,5.8,0.178,5.8,3.576,0.216,23.2,57.29590814723039
2.9,6.1,344.0,7.0,0.225,14.0,5.559,0.247,23.3,53.18835976227159
0.5,3.0,127.0,10.1,0.152,5.2,2.811,0.163,22.6,45.78158821050409
0.5,3.0,112.0,10.5,0.053,6.0,2.381,0.058,22.6,52.26317199665871
1.7,4.6,151.0,10.0,0.096,40.7,2.641,0.123,23.0,43.434744960768256
0.7,2.7,127.0,5.5,0.145,7.4,2.52,0.146,22.4,51.12118644506504
2.9,3.7,291.0,9.0,0.235,4.2,5.016,0.288,21.6,44.44178221209767
4.0,8.3,364.0,4.3,0.624,17.8,11.136,0.72,25.0,39.97356727571915
